1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
,,,2Z22 i8 RHD,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,2Z62 I8,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,1,0.5%,0%,1
,,,6H12 640I,4800,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,1,-,1,-,-,-,-,-,-,-,-,1%,0%,2
,,HYUNDAI,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea,-,-,-,-,-,-,1,-,-,-,-,-,0.5%,0%,1
,,LEXUS,Lexus GS 350,3456,AT,G,66,2190,0,235 / 45 R18,306 / 6400,0,1850X1820X1455,4,4X2,FR,0,4,4,CBU,Japan,-,-,-,1,-,-,1,1,-,1,-,-,2.1%,0.1%,4
,,,Lexus LS 500,3445,AT,G,0,2760,0,245 / 45 R20,0,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,3,26,11,7,4,5,-,1,3,-,-,-,30.9%,0.9%,60
,,,Lexus LS 500 Hybrid,3445,AT,G,0,2760,0,245 / 45 R20,0,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,-,-,-,-,-,-,1,-,-,-,-,0.5%,0%,1
,,,Lexus RC F,4969,AT,G,66,2250,0.685,-,470 / 7100,2730,4705X1845X1390,4,4X2,FR,10,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,Lexus LC 500,4969,AT,G,66,2870,0,-,471 / 7100,2730,4770X1920X1345,2,4X2,FR,0,2,4,CBU,Japan,-,-,2,1,-,-,-,-,-,-,-,-,1.5%,0%,3
,,TOTAL,,,,,,,,,,,,,,,,,,,,4,46,31,22,27,8,3,7,7,13,12,14,100%,3%,194
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,4,50,81,103,130,138,141,148,155,168,180,194,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,574,736,534,800,813,479,533,434,485,366,514,436,"6,704
0.6%",,
,,,,,,,,,,,,,,,,,,,,,,574,1310,1844,2644,3457,3936,4469,4903,5388,5754,6268,6704,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 2 TYPE SALES                                                                                                                               `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share","TOTAL
2018"
4X2 TYPE,CC < 1.500 [G/D],AUDI ,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x 1826 x 1427,5,4X2,FF,225,4,4,CBU,Germany,1,-,1,-,2,-,1,1,-,1,-,-,0.2%,0.1%,7
