1.   SEDAN TYPE PRODUCTION                                     `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2023
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,CITY  HB RS-HS,"1,500",CVT,G,40,-,-,16 x  6J,121,"2,600",4349 x  1748 x  1488,-,4X2,FF,-,5,4,CKD,INA,60,60,60,60,120,120,60,-,60,60,60,60,0.1%,0.1%,780
,,,,New  Mobilio S,"1,497",MT,G,42,-,-,15,118,"2,650",4386 x  1683 x  1603,7,4X2,FF,-,5,4,CKD,INA,120,180,240,120,120,120,-,120,-,360,-,60,0.2%,0.2%,"1,440"
,,,,WR-V  E,"1,500",MT,G,35,-,-,16 x  7J,119,"2,485",4060 x  1780 x  1608,-,4X2,FF,-,5,4,CKD,INA,-,-,-,-,30,-,30,-,-,30,30,60,0.0%,0.0%,180
,,,,WR-V  E,"1,500",CVT,G,35,-,-,16 x  7J,119,"2,485",4060 x  1780 x  1608,-,4X2,FF,-,5,4,CKD,INA,90,60,180,180,180,90,60,60,60,90,60,150,0.2%,0.1%,"1,260"
,,,,WR-V  RS,"1,500",CVT,G,35,-,-,17 x  7J,119,"2,485",4060 x  1780 x  1608,-,4X2,FF,-,5,4,CKD,INA,690,750,"1,290","1,433","1,206","1,152","1,438","1,266",820,530,765,295,1.5%,1.3%,"11,635"
,,,,WR-V  RS - HS,"1,500",CVT,G,35,-,-,17 x  7J,119,"2,485",4060 x  1780 x  1608,-,4X2,FF,-,5,4,CKD,INA,600,750,720,810,870,"1,050","1,020","1,050",630,180,90,150,1.0%,0.9%,"7,920"
,,,,New  HR-V  S,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,30,30,90,30,30,30,30,30,30,60,60,30,0.1%,0.1%,480
,,,,New  HR-V  E,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,780,630,570,150,270,240,120,60,360,120,150,300,0.5%,0.4%,"3,750"
,,,,New  HR-V  SE,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,"3,210","3,122","2,857",651,"1,283","1,165","1,294","1,808","1,480","1,670","1,858","1,234",2.8%,2.3%,"21,632"
,,,,New  HR-V  RS,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,300,90,210,60,120,60,90,60,30,120,150,150,0.2%,0.2%,"1,440"
,,,,BR-V  S,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,30,30,30,-,30,-,-,-,0.0%,0.0%,120
,,,,BR-V  E,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,300,240,270,60,240,120,120,120,60,60,60,90,0.2%,0.2%,"1,740"
,,,,BR-V  E,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,780,300,360,180,870,60,60,330,30,-,120,90,0.4%,0.3%,"3,180"
,,,,BR-V  E PRESTIGE,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,840,900,413,517,870,720,630,780,90,300,480,570,0.9%,0.8%,"7,110"
