1   SEDAN TYPE SALES                                                                                                              `JAN DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2020
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,BMW,7E06 730LI,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA,1,-,-,-,-,-,-,-,-,-,-,-,2.0%,0.0%,1
,,,JF02 M5,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,1,1,-,-,-,-,-,3.9%,0.0%,2
,,,BC42 M850I XDRIVE,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-,2.0%,0.0%,1
,,,GV22 840I,4395,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany,-,-,-,-,-,-,2,2,-,-,-,-,7.8%,0.1%,4
,,,GV02 M8,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-,2.0%,0.0%,1
,,,AE02 M8,4395,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,1,-,-,1,-,3.9%,0.0%,2
,,,2Z62 I8,2993,AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2.0%,0.0%,1
,,HYUNDAI - HIM,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea,2,-,-,-,-,-,-,-,-,-,-,-,3.9%,0.0%,2
,,LEXUS,Lexus  LS 500,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,1,1,-,1,3,-,-,-,-,1,-,13.7%,0.1%,7
,,MERCEDES-BENZ - PC,E 53 4 Matic  Estate (S213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,1,-,-,-,1,-,-,-,-,1,-,5.9%,0.1%,3
,,,C 43 Coupe (C205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,1,-,-,-,1,2,2,-,-,11.8%,0.1%,6
,,,C 43 Estate 4M (S205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,1,-,-,-,-,2.0%,0.0%,1
,,,C 43 (W205),3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,4,2,1,-,-,3,-,5,2,-,-,-,33.3%,0.4%,17
,,,S 560 (X222)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,1,1,1,-,-,-,5.9%,0.1%,3
,,TOTAL,,,,,,,,,,,,,,,,,,,,7,4,3,1,1,9,4,11,6,2,3,-,100%,1%,51
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,7,11,14,15,16,25,29,40,46,48,51,51,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,360,682,681,142,92,244,418,399,313,459,542,417,"4,749
0.9%",,
,,,,,,,,,,,,,,,,,,,,,,360,"1,042","1,723","1,865","1,957","2,201","2,619","3,018","3,331","3,790","4,332","4,749",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 2 TYPE SALES                                                                                                                 `JAN DEC 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share","TOTAL
2020"
4X2 TYPE,CC < 1.500 [G/D],AUDI,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x  1826 x  1427,5,4X2,FF,225,4,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,1,-,0.0%,0.0%,2
,,BMW,YH12 X2 SDRIVE18I,1500,AT,-,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Germany,-,-,-,-,-,-,-,-,2,-,1,-,0.0%,0.0%,3
,,,8P62 I3 120,-,AT,HYBRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,-,1,-,-,-,2,-,-,1,1,-,0.0%,0.0%,5
,,,32AA  X1 SDRIVE18I,1499,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,0.0%,0.0%,1
,,CHEVROLET,Aveo 1.4 LT,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Spark 1.4L,1400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,South Korea,5,-,1,1,-,-,-,-,-,-,-,-,0.0%,0.0%,7
,,,Trax  1.4L,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,South Korea,-,-,1,-,-,-,-,-,-,-,-,-,0.0%,0.0%,1
