1.  SEDAN TYPE SALES                                                                                                              `JAN-DEC 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2019
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,W HEEL & TYRE SIZE,PS / HP,W HEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",AUDI,RS4 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2813,4719 x 1850 x 1416,5,4X4,4WD,250,4,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,BMW,7E06 730LI,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA,2,4,1,3,3,3,1,2,-,30,6,-,61.8%,0.9%,55
,,,JF02 M5,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,1.1%,0.0%,1
,,,BC42 M850I XDRIVE,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,1,2,1,-,-,-,4.5%,0.1%,4
,,,7R02 730I,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,1.1%,0.0%,1
,,,2Z22 i8 RHD,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany,-,-,-,1,-,-,1,-,-,-,-,-,2.2%,0.0%,2
,,HYUNDAI,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea,-,-,-,-,1,-,-,-,-,-,-,-,1.1%,0.0%,1
,,LEXUS,Lexus GS 350,3456,AT,G,66,2190,-,235 / 45 R18,306 / 6400,-,1850X1820X1455,4,4X2,FR,0,4,4,CBU,Japan,-,1,-,-,-,-,-,-,-,-,-,-,1.1%,0.0%,1
,,,Lexus GS-F,4969,AT,G,66,2320,-,225 / 35 R19,-,2850,4915X1845X1440,4,4X2,FR,6,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Lexus LS 460,4608,AT,G,84,2455,-,235 / 50 R18,382 / 6400,2970,5090X1875X1465,4,4X2,FR,8,4,4,CBU,Japan,-,-,1,-,-,-,-,-,-,-,-,-,1.1%,0.0%,1
,,,Lexus LS 600 Hybrid,4969,AT,G,84,2760,1,245 / 45 R19,389 / 6400,3090,5180X1875X1480,4,4X2,FR,8,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,Lexus LS 500,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,3,2,-,1,-,-,-,3,1,2,-,-,13.5%,0.2%,12
,,,Lexus LC 500,4969,AT,G,66,2870,-,-,471 / 7100,2730,4770X1920X1345,2,4X2,FR,0,2,4,CBU,Japan,1,-,-,-,-,-,-,-,-,-,-,-,1.1%,0.0%,1
,,MERCEDES-BENZ PC,AMG E 43 (W213)*,3982,AT,G,-,-,9,-,-,-,-,-,-,4WD,-,2,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,AMG E 63 S,3982,AT,G,66,2555,9,-,612,2939,"4,988 x 2,065 x 1,463",5,4X4,4WD,-,4,4,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,AMG E 53 4M+ (W213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,1,1.1%,0.0%,1
,,,AMG E 53 4MATIC Estate (S213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,2,2.2%,0.0%,2
,,,AMG C 43 Coupe (C205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,1,1,2.2%,0.0%,2
,,,AMG C 43 Estate 4M (S205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,1,1.1%,0.0%,1
,,,Mercedes AMG C 43 (W205),3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,1,-,1.1%,0.0%,1
,,,AMG GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,3,3.4%,0.0%,3
,,TOTAL,,,,,,,,,,,,,,,,,,,,6,7,2,5,4,3,5,7,2,32,8,8,100%,1%,89
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,6,13,15,20,24,27,32,39,41,73,81,89,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,237,566,545,393,545,356,715,689,627,569,668,502,"6,412
0.6%",,
,,,,,,,,,,,,,,,,,,,,,,237,803,"1,348","1,741","2,286","2,642","3,357","4,046","4,673","5,242","5,910","6,412",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
