NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Tahiti,-,-,-,-,-,-,-,-,1,-,-,-,1
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Trinidad,-,-,-,-,-,-,-,-,2,4,-,1,7
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,-,-,-,-,-,-,-,-,-,-,83,83
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Yemen,-,-,-,-,-,-,-,-,-,-,-,2,2
,,,,Fortuner,"2,800",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Yemen,-,-,-,8,7,7,10,4,-,1,1,5,43
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Australia,-,-,20,6,-,-,-,-,-,-,-,-,26
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,-,16,6,-,3,3,3,7,8,-,13,5,64
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,-,37,51,43,-,-,-,-,-,-,-,-,131
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Ecuador,-,78,34,-,9,43,15,45,40,21,46,35,366
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Fiji,-,-,4,-,-,-,-,-,-,-,-,-,4
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Grand Cayman,-,1,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Guyana,-,1,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Jamaica,-,3,1,12,-,-,-,-,-,-,-,-,16
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,-,36,9,3,7,20,27,18,20,35,28,-,203
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Lebanon,-,5,5,4,5,4,3,3,9,13,4,6,61
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Libya,-,2,2,-,-,2,2,2,-,10,4,2,26
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Morocco,-,16,22,1,-,-,-,-,-,-,-,-,39
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Oman,-,178,107,7,2,16,9,22,61,51,24,9,486
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Peru,-,23,-,-,-,-,-,-,-,-,-,-,23
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,-,"1,410","1,209",-,-,-,-,-,-,-,-,-,"2,619"
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Png,-,12,2,82,-,-,-,-,-,-,-,-,96
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Qatar,-,47,117,42,16,52,15,31,21,22,20,-,383
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Saudi  Arabia,-,849,677,263,172,423,307,156,138,264,206,19,"3,474"
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Srilanka,-,5,-,-,-,-,-,-,-,-,-,-,5
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,St. Lucia,-,1,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Trinidad,-,1,-,119,-,-,-,-,-,-,-,-,120
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Uae Adb,-,347,178,79,65,72,76,208,214,132,146,31,"1,548"
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hcm,-,49,-,-,-,-,-,-,-,-,-,-,49
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam  Hpg,-,37,-,11,-,-,-,-,-,-,-,-,48
,,,,Fortuner,"4,000",-,-,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Yemen,-,30,21,4,15,13,2,3,2,5,15,7,117
,,,,Fortuner Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Bahrain,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,6,-,-,-,-,-,-,-,-,-,-,-,6
,,,,Fortuner Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Brunei,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner Suv Wagon G,"3,956",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Ecuador,43,-,-,-,-,-,-,-,-,-,-,-,43
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Fiji,5,-,-,-,-,-,-,-,-,-,-,-,5
,,,,Fortuner Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Kuwait,32,-,-,-,-,-,-,-,-,-,-,-,32
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Morocco,16,-,-,-,-,-,-,-,-,-,-,-,16
,,,,Fortuner Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Peru,38,-,-,-,-,-,-,-,-,-,-,-,38
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Philippines,981,-,-,-,-,-,-,-,-,-,-,-,981
,,,,Fortuner Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,S.Arabia,257,-,-,-,-,-,-,-,-,-,-,-,257
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Sri  Lanka,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,U.A.E,21,-,-,-,-,-,-,-,-,-,-,-,21
,,,,Fortuner Suv Wagon D,"3,956",-,D,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vanuatu,1,-,-,-,-,-,-,-,-,-,-,-,1
,,,,Fortuner  Suv Wagon G,"2,694",-,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Vietnam,39,-,-,-,-,-,-,-,-,-,-,-,39
