GAIKINDO IMPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,IMPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,W HEEL &,PS/HP,W HEEL,DIMENSI ON,SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD / COMP,ORIGIN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,,(AT/MT),(G/D),CAPT,(Kg),RATIO,TYRE SIZE,,BASE,P x L x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
1,CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,PT. MITSUBISHI MOTORS KRAMA YUDHA INDONESIA,MITSUBISHI MOTORS,Eclipse Cross,1499,AT,G,63,2100,-,225/55 R18,150,2670,4405 X 1805 X 1674,5,4X2,FF,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,120,120,140,380
,,,,Outlander  PHEV,2360,AT,LECTR,45,2390,3789,225/55 R18,128,2670,4695 X 1800 X 1710,5,4X4,AWD,-,4,4,CBU,JPN,-,-,-,-,-,-,-,-,-,40,15,5,60
,,,,Pajero Sport 2.4L DAKAR (4x,2442,AT,D,70,2650,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X2,FR,-,4,4,CBU,Thailand,1,-,-,-,2,"1,516","1,284",448,551,"1,419",537,250,"6,008"
,,,,Pajero Sport 2.4L DAKAR Ult,2442,AT,D,70,2650,3692,265/60 R18,181,2800,4785 X 1815 X 1805,7,4X2,FR,-,4,4,CBU,Thailand,,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Pajero Sport 2.5 E HP (4X2),2477,AT,D,70,2650,3917,265/65 R17,178,2800,4695 X 1815 X 1840,7,4X2,FR,-,4,4,CBU,Thailand,1,-,-,-,2,247,120,147,87,230,110,24,968
,,,,Pajero Sport 2.5 L EXCEED (,2477,MT,D,70,2650,4100,265/65 R17,136,2800,4697 X 1815 X 1840,7,4X2,FR,-,4,4,CBU,Thailand,-,40,2,18,-,10,30,19,1,33,7,20,180
,,,,Triton 2.5L DC Athlete (4X4),2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,58,1,-,-,-,-,-,-,-,-,-,59
,,,,Triton 2.5L DC Athlete (4X4),2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,-,52,13,-,4,5,-,-,-,-,-,-,74
,,,,Triton 2.5L DC EXCEED (4X,2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,3,69,9,1,30,-,-,-,-,-,-,-,112
,,,,Triton 2.5L DC EXCEED (4X,2477,AT,D,75,2760,4636,245/75/R16,178,3000,5255 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,9,83,62,22,22,29,37,85,93,97,35,85,659
,,,,Triton SU 2.5L HP-E D CAB,2442,AT,D,75,2870,4272,265/60 R18,181,3000,5305 X 1815 X 1795,5,4X4,4WD,0,4,4,CBU,Thailand,-,-,-,-,-,-,20,68,71,38,19,43,259
,,,,Triton 2.5L DC GLS (4X4) M,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,98,366,539,156,112,221,326,301,216,654,227,233,"3,449"
,,,,Triton 2.5L DC HDX (4X4) M,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5205 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,46,513,157,75,270,358,217,344,121,189,384,114,"2,788"
