NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,106,219,122,63,50,116,50,184,134,12,6,"1,062"
4,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI,Ignis GX MT,"1,197",MT,G,43,"1,430","4,388",185/60 R15,85,"2,360",3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,-,-,7,80,39,110,7,69,76,24,151,17,580
,,,Ignis GX AT,"1,197",AT,G,43,"1,430","4,375",185/60 R15,85,"2,360",3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India,12,-,3,3,8,4,-,144,55,96,76,158,559
,,,New SX4 S-Cros,"1,490",MT,G,48,"1,670",-,205/60 R16,109,"2,600",4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,New SX4 S-Cros AT,"1,490",AT,G,48,"1,670",-,205/60 R16,109,"2,600",4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India,-,28,-,97,90,36,341,-,2,-,1,-,595
,,,New Jimny MT,"1,462",MT,G,40,"1,435","4,090",195/80 R15,102,"2,250",3625 X 1645 X 1720,4,4X4,4WD,-,4,4,CBU,Japan,4,-,4,16,10,4,7,-,6,8,-,21,80
,,,New Jimny AT,"1,462",AT,G,40,"1,435","4,300",195/80 R15,102,"2,250",3625 X 1645 X 1720,4,4X4,4WD,-,4,4,CBU,Japan,-,90,153,-,69,64,73,-,61,208,-,129,847
,,,New Jimny 2TONE MT,"1,462",MT,G,40,"1,435","4,090",195/80 R15,102,"2,250",3625 X 1645 X 1720,4,4X4,4WD,-,4,4,CBU,Japan,-,3,3,11,9,2,4,-,1,3,-,5,41
,,,New Jimny 2TONE AT,"1,462",AT,G,40,"1,435","4,300",195/80 R15,102,"2,250",3625 X 1645 X 1720,4,4X4,4WD,-,4,4,CBU,Japan,-,17,81,-,36,40,35,-,24,44,-,41,318
,,,S-Presso Mt,998,MT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,India,-,-,-,3,21,650,620,5,-,-,-,-,"1,299"
,,,S-Presso At,998,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,India,-,-,-,-,3,14,981,1,-,-,-,-,999
,,,New Baleno,"1,490",MT,G,51,"1,650",-,195/55 R15,110,"2,480",4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,273,145,38,51,8,91,606
,,,New Baleno AT,"1,490",AT,G,51,"1,650",-,195/55 R15,110,"2,480",4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India,-,-,-,-,-,-,3,5,140,251,346,162,907
,,,TOTAL,,,,,,,,,,,,,,,,,,,16,138,251,210,285,924,"2,344",369,403,685,582,624,"6,831"
5,PT. MITSUBISHI MOTORS KRAMA YUDHA INDONESIA,MITSUBISHI MOTORS,L300 D P/U FLD,"2,268",MT,D,47,2345,3909,"7,00-14-8PR",99.25,2350,4165 X 1695 X 1915,3,4X2,FR,0,2,4,CBU,Phillipines,-,-,-,-,120,"1,028","1,878","3,137","1,797","1,679",856,"1,276","11,771"
,,,L300 CC,"2,268",MT,D,47,2345,3909,"7,00-14-8PR",99.25,2350,4165 X 1695 X 1915,3,4X2,FR,0,2,4,CBU,Phillipines,-,-,-,-,46,61,72,144,71,44,59,79,576
,,,Triton 2.5L Dc Exceed (4X4) MT,"2,442",MT,D,75,"2,870","3,692",245/65/R17,181,"3,000",5305 X 1815 X 1780,5,4X4,4WD,-,4,4,CBU,Thailand,95,-,232,-,30,-,61,26,35,-,7,-,486
,,,Triton Su 2.5L Hp-E D Cab Ultimate (4X4) A/T,"2,442",AT,D,75,"2,870","4,272",265/60 R18,181,"3,000",5305 X 1815 X 1795,5,4X4,4WD,-,4,4,CBU,Thailand,68,38,125,-,1,-,69,42,250,249,1,8,851
,,,Triton 2.5L Dc Gls (4X4) Mt,"2,442",MT,D,75,"2,850","4,090",245/70/R16,136,"3,000",5225 X 1815 X 1780,5,4X4,4WD,-,4,4,CBU,Thailand,125,9,963,-,120,181,215,502,-,31,10,99,"2,255"
,,,Triton 2.5L Dc Hdx (4X4) Mt,"2,477",MT,D,75,"2,850","4,636",205/R16C 8PR,110,"3,000",5225 X 1785 X 1775,5,4X4,4WD,-,4,4,CBU,Thailand,620,323,"1,145",372,597,835,443,486,270,561,337,304,"6,293"
,,,Triton 2.5L Sc Hdx (4X4) Mt,"2,477",MT,D,75,"2,760","4,636",205/R16C 8PR,110,"3,000",5100 X 1815 X1780,2,4X4,4WD,-,2,4,CBU,Thailand,177,130,458,-,145,216,114,263,533,231,65,260,"2,592"
