1.   SEDAN  TYPE PRODUCTION                                   `JAN  JUL  2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,Segmt Share,Sedan Share,TOTAL 2025
,,BRAND,ASSEMBLER,TYPE / MODEL,CC,TRANS,"FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL
BASE","DIMENSION
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,,New CITY HB RS-HS,"1,500",CVT,G,40,-,-,16 x 6J,121,"2,600",4349 x 1748 x 1488,-,4X2,FF,-,5,4,CKD,INA,120,180,120,-,-,-,-,-,-,-,-,-,0.1%,0.1%,420
,,,,New Mobilio S,"1,497",MT,G,42,-,-,15,118,"2,650",4386 x 1683 x 1603,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-
,,,,WR-V E,"1,500",MT,G,35,-,-,16 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,30,-,-,30,-,30,-,-,-,-,-,-,0.0%,0.0%,90
,,,,WR-V E,"1,500",CVT,G,35,-,-,16 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,30,60,30,-,90,-,-,-,-,-,-,-,0.1%,0.0%,210
,,,,WR-V RS,"1,500",CVT,G,35,-,-,17 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,480,450,780,90,60,210,300,-,-,-,-,-,0.6%,0.5%,"2,370"
,,,,WR-V RS - HS,"1,500",CVT,G,35,-,-,17 x 7J,119,"2,485",4060 x 1780 x 1608,-,4X2,FF,-,5,4,CKD,INA,150,180,60,210,540,270,-,-,-,-,-,-,0.4%,0.3%,"1,410"
,,,,New HR-V SE,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,92,60,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,152
,,,,New HR-V RS,"1,497",CVT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CKD,INA,30,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,30
,,,,New HR-V E,"1,497",CVT,G,40,-,-,-,121,"2,610",4347 x 1790 x 1590,-,4X2,FF,-,5,-,CKD,INA,-,-,-,-,111,180,90,-,-,-,-,-,0.1%,0.1%,381
,,,,New HR-V E+,"1,497",CVT,G,40,-,-,-,121,"2,610",4347 x 1790 x 1590,-,4X2,FF,-,5,-,CKD,INA,-,-,-,-,450,930,420,-,-,-,-,-,0.5%,0.4%,"1,800"
,,,,New HR-V e:HEV,"1,497",CVT,HYBRID,40,-,-,-,106/131,"2,610",4347 x 1790 x 1590,-,4X2,FF,-,5,-,CKD,INA,-,-,-,-,30,330,750,-,-,-,-,-,0.3%,0.2%,"1,110"
,,,,New HR-V RS e:HEV,"1,497",CVT,HYBRID,40,-,-,-,106/131,"2,610",4347 x 1790 x 1590,-,4X2,FF,-,5,-,CKD,INA,-,-,-,-,21,390,390,-,-,-,-,-,0.2%,0.2%,801
,,,,BR-V S,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,300,360,-,210,150,-,-,-,-,-,0.3%,0.2%,"1,020"
,,,,BR-V E,"1,500",MT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,-,-,120,-,-,-,-,-,-,0.0%,0.0%,120
,,,,BR-V E,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,90,30,120,-,90,180,-,-,-,-,-,-,0.1%,0.1%,510
,,,,BR-V E PRESTIGE,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,-,-,-,330,270,390,60,-,-,-,-,-,0.3%,0.2%,"1,050"
,,,,BR-V Prestige-HS,"1,500",CVT,G,42,-,-,-,-,-,-,7,4X2,FF,-,5,4,CKD,INA,60,90,-,-,60,120,-,-,-,-,-,-,0.1%,0.1%,330
,,,,Brio RS,"1,198",MT,G,35,960,-,-,88,"2,345",3610 x 1680 x 1485,5,4X2,FF,-,4,4,CKD,INA,60,-,-,-,-,-,60,-,-,-,-,-,0.0%,0.0%,120
,,,,Brio RS,"1,198",AT,G,35,960,-,-,88,"2,345",3610 x 1680 x 1485,5,4X2,FF,-,4,4,CKD,INA,300,540,420,120,180,180,240,-,-,-,-,-,0.5%,0.4%,"1,980"
,,HYUNDAI,PT. Hyundai Motor Mftg Indonesia,Creta FL Active 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,10,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,10
,,,,Creta FL Trend 1.5 MT,"1,500",MT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,28,4,-,-,1,-,-,-,-,-,-,-,0.0%,0.0%,33
,,,,Creta FL Trend 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,-,4,35,49,37,18,48,-,-,-,-,-,0.1%,0.0%,191
,,,,Creta FL Style 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,18,7,5,30,13,3,24,-,-,-,-,-,0.0%,0.0%,100
,,,,Creta FL Prime 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,112,73,54,200,85,-,56,-,-,-,-,-,0.2%,0.1%,580
,,,,Creta FL Prime 1.5 IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,180,109,33,40,50,9,85,-,-,-,-,-,0.1%,0.1%,506
,,,,Creta FL N Line 1.5 IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,221,124,36,24,42,39,78,-,-,-,-,-,0.2%,0.1%,564
,,,,Creta FL N Line 1.5 IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,194,152,237,294,249,231,230,-,-,-,-,-,0.4%,0.3%,"1,587"
,,,,Creta FL N Line 1.5T  IVT,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,65,34,-,-,-,12,2,-,-,-,-,-,0.0%,0.0%,113
,,,,Creta FL N Line 1.5T  IVT  Two Tone,"1,500",AT,G,40,"1,590",-,215/60/R17,115,"2,610",4315 x 1790 x 1630,5,4X2,FF,-,5,4,CKD,INA,56,40,6,-,8,83,56,-,-,-,-,-,0.1%,0.1%,249
