1    SEDAN TYPE SALES                                                                                                             `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2.024
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,530i  Touring RHD AT,1.998,AT,G,68,2.425,-,245/40 R19 98Y; 275/35 R19 100Y,252,2.975,4963 x 1868 x 1498,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,1,-,-,-,-,-,-,-,-,0%,0%,1
,,,i5 eDrive40,-,AT,BEV,-,2.74,-,245/40 R20 99Y;275/35 R20 102Y,340,2.995,5.075 x 1.900 x 1.51,5,4X2,-,-,4,4,CBU,Germany,-,-,-,-,30,6,4,9,4,15,16,17,2%,1%,101
,,,i5 M60 xDrive A/T,-,AT,BEV,-,2.305,-,245/45 R19 102 Y XL;275/40 R19 105 Y XL,601,2995,5060 x 1900 x 1505,5,4X4,AWD,-,4,4,CBU,Germany,-,-,-,-,-,5,1,3,-,-,-,-,0%,0%,9
,,,i5 eDrive40 (12HH) A/T,-,AT,BEV,-,2.18,-,"5 R19 102 Y XL, 255/35 R21 101 Y XL;275/40 R19 105 Y XL, 285/30 R21 1",340,2995,5060 x 1900 x 1515,5,4X2,FR,-,5,4,CBU,Germany,-,-,-,-,-,-,-,-,5,-,1,1,0%,0%,7
,,,735i  Limousine RHD A/T,2.998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0%,0%,1
,,,735i  Limousine RHD AT,2.998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,-,-,11,16,10,17,16,3,18,23,5,4,10,8,3%,1%,141
,,,750e xDrive Sedan RHD PHEV,2.998,AT,PHEV,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany,-,-,1,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,Z4 sDrive30i  AT,1.998,AT,G,52,1.74,-,255/40 ZR18 95Y; 275/40 ZR18 99Y,258,2.47,4324x1864x1304,-,4X2,FR,-,2,4,CBU,Germany,2,-,-,7,6,2,6,4,2,2,3,6,1%,0%,40
,,,Z4 M40i  AT,2.998,AT,G,52,1.86,-,255/35 ZR19 96Y; 275/35 ZR19 100Y,387,2.47,4324 x 1864 x 1304,-,4X2,FR,-,-,4,CBU,Germany,2,-,11,3,3,2,9,4,2,7,5,11,1%,1%,59
,,,840i  Coupe AT,2.998,AT,G,68,2.225,-,245/35 R20 95Y; 275/30 R20 97Y,340,2.822,4843x1902x1341,-,4X2,FR,-,-,4,CBU,Germany,-,-,1,-,-,-,-,-,-,-,1,-,0%,0%,2
,,,840i  Gran Coupe AT,2.998,AT,G,68,2.435,-,245/35 R20 95Y; 275/30 R20 97Y,340,3.023,5074x1932x1401,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,2,-,-,-,0%,0%,2
,,HONDA,New ACCORD HEV,2,CVT,HEV,-,-,-,-,207,2.83,4962 x 1862 x 1449,-,4X2,FF,-,4,4,CBU,Thailand,31,41,27,14,22,11,-,12,14,2,24,12,5%,2%,210
,,,Civic Type R,2,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,UK,-,10,12,-,1,3,1,-,1,-,-,-,1%,0%,28
,,LEXUS,ES 300 h,2.494,AT,HEV,65,-,-,215 / 55 R17,202 / 5700,2.82,4900X1820X1450,4,4X2,FR,-,4,4,CBU,Japan,-,1,-,6,12,3,-,1,-,1,2,1,1%,0%,27
,,MAZDA,MX-5 RF AT,1.999,AT,G,50,-,3.863,205/45R17,160,2.33,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,2,3,-,10,3,1,-,1,2,2,8,1,1%,0%,33
,,,New MX-5 RF MT,1.999,MT,G,50,-,3.863,205/45R17,160,2.33,4020 x 1720 x 1255,2,4X2,FF,-,4,4,CBU,Japan,1,-,1,2,-,1,-,-,1,5,-,3,0%,0%,14
,,,Mazda 3 Sedan,1.998,AT,G,51,-,-,215/45R18,155,2.725,"4,660 x 1,795 x 1,44",5,4X2,FF,-,5,4,CBU,Japan,3,6,11,2,6,9,7,10,6,5,1,2,2%,1%,68
,,,Mazda 6 Elite Sedan,2.488,AT,G,64,-,4.056,225/45R19,187,2.83,4865 x 1840 x 1450,5,4X2,FF,-,4,4,CBU,Japan,3,1,1,-,3,1,4,-,1,1,1,1,0%,0%,17
,,MERCEDES-BENZ PC,AMG A 35 4MATIC (V177),2,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,8,2,10,5,7,7,18,11,8,2,1,1,2%,1%,80
,,,A 200,1.991,AT,G,41,2.03,7,225/50 R17,184,2.84,"4,686 x 2,020 x 1,44",5,4X2,FR,-,4,4,CKD,INA,5,11,6,16,6,10,-,14,9,3,6,5,2%,1%,91
,,,E 200 Coupe   (C238)*,2.999,AT,G,-,-,-,-,-,-,-,-,4X4,4WD,-,-,-,CBU,-,-,1,-,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,E 300 AMG,1.991,AT,G,66,2.295,9,"245/40, 275/35 R19",258,2.939,"4,702 x 2,065 x 1,45",5,4X2,FR,-,4,4,CKD,INA,5,-,9,2,-,2,-,-,-,1,-,-,0%,0%,19
,,,S 450,2.996,AT,G,80,2.7,9,"245/45, 275/40 R19",367,3.165,"5,255 x 2,130 x 1,49",5,4X2,FR,-,4,4,CKD,INA,2,1,7,-,10,31,4,5,6,6,4,7,2%,1%,83
,,,EQE 350 (V295),-,AT,BEV,-,-,-,-,-,-,-,5,4X2,FR,-,5,4,CBU,-,-,1,1,1,4,1,6,3,1,3,-,1,1%,0%,22
,,,EQS 450+ (V297),-,AT,BEV,-,-,9,245/45 R18,204,2.84,"4,702 x 2,020 x 1,45",5,4X2,FR,-,5,4,CBU,-,1,2,4,1,2,-,-,-,-,-,1,1,0%,0%,12
,,,C 300 AMG Line (W206),1.998,AT,G,66,-,-,-,-,-,-,4,4X2,FR,-,4,4,CKD,-,17,19,91,26,41,10,21,51,29,6,1,10,8%,3%,322
,,,E 200 (W214) CKD,1.998,AT,G,66,-,9,-,204,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,-,57,47,29,19,14,4%,2%,166
,,,E 300 (W214) CKD,1.998,AT,G,66,-,9,-,258,-,-,4,4X2,RR,-,4,4,CKD,-,-,-,-,-,-,-,-,48,19,28,10,11,3%,1%,116
,,,AMG SL 43,1.999,AT,G,-,-,9,-,-,-,-,4,4X2,FR,-,4,4,CBU,-,-,-,1,-,-,-,1,1,-,-,1,-,0%,0%,4
,,,CLE 300,1.999,AT,G,-,-,-,-,-,-,-,4,4X4,4WD,-,4,4,CBU,-,-,-,7,-,1,5,3,-,2,3,-,-,0%,0%,21
,,SUBARU,BRZ 2.4 MT  (ZD8),2,AT,G,50,1.67,-,215/40 R18,237,2.575,"4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,5,4,1,2,2,-,1,4,3,6,5,3,1%,0%,36
,,,BRZ 2.4 AT  (ZD8),2,AT,G,50,1.7,-,215/40 R18,237,2.575,"4,265 x 1,775 x 1,31",4,4X2,FR,-,2,4,CBU,Japan,5,6,5,4,1,5,5,10,10,8,8,9,2%,1%,76
,,,WRX SEDAN 2.4 MT  (VB),2,MT,G,63,1.556,-,245/40 R18,275,2.675,"4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,2,3,1,1,3,-,1,2,-,3,1,2,0%,0%,19
,,,WRX SEDAN 2.4 AT  tS ES (VB),2,CVT,G,63,1.625,-,245/40 R18,275,2.675,"4,670 x 1,825 x 1,46",5,4X4,4WD,-,4,4,CBU,Japan,1,2,5,2,1,-,3,2,1,3,2,1,1%,0%,23
,,TOYOTA,All  New Corolla Altis 1.8 V A/T  2022,1.8,AT,G,55,1.27,5,21545R17,151 / 6400,2.7,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,1,10,15,-,6,13,19,4,13,16,9,16,3%,1%,122
,,,All  New Corolla Altis 1.8 V A/T  2023,1.8,AT,G,55,1.27,5,21545R17,151 / 6400,2.7,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,1,-,-,-,-,-,-,-,0%,0%,1
,,,All  New Corolla Altis 1.8 Hybrid AT  2023,1.8,AT,HEV,55,1.27,5,21545R17,151 / 6400,2.7,4620X1776X1460,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,14,4,2,8,1,3,7,-,2,1%,0%,41
,,,GR Corolla 1.6,1.618,AT,G,45,-,-,-,-,2.64,4407x1851x1479,5,4X2,FF,-,4,4,CBU,-,-,-,-,-,-,12,6,14,4,6,1,-,1%,0%,43
,,,All  New Camry 2.5 V,2.5,AT,G,70,1.465,3.815,215/55R17,181 / 6000,2.775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,9,8,4,1,-,7,13,33,54,8,-,-,3%,1%,137
,,,All  New Camry 2.5 Hybrid Mi,2.5,AT,HEV,65,1.625,3.542,215/55R17,156.6 /5700,2.775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand,9,3,15,12,23,12,19,50,9,-,-,-,4%,1%,152
,,,Prius 1.8 Hybrid 2023,1.798,AT,HEV,45,1.42,3.267,195/65 R15,73 / 5200,2.7,4460X1745X1480,5,4X2,FF,5,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,5,,0%,0%,5
,,,GR 86,2.387,AT,G,50,-,-,215/45/R17,147 / 6.800,2.57,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,4,-,1,-,-,1,1,-,-,1,-,-,0%,0%,8
,,,GR 86 AT,2.387,AT,G,50,-,-,215/45/R17,147 / 6.800,2.57,4240X1775X1285,5,4X2,FR,6,4,4,CBU,Japan,6,-,8,10,8,1,3,1,1,9,1,-,1%,0%,48
,,,Supra 3.0 AT,2.459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,-,1,-,-,-,-,-,-,-,-,-,-,0%,0%,1
,,,GR Supra 3.0 AT,2.459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan,2,-,-,-,-,2,-,1,1,-,-,-,0%,0%,6
,,TOTAL,,,,,,,,,,,,,,,,,,,,221,213,350,206,383,329,391,576,484,404,354,292,100%,40%,4.203
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,221,434,784,990,1.373,1.702,2.093,2.669,3.153,3.557,3.911,4.203,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",LEXUS,LC 500,4.969,AT,G,66,2.87,-,-,471 / 7100,2.73,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,1,-,1,1,-,-,-,-,1,-,57%,0%,4
,,MERCEDES-BENZ PC,Maybach S 580 (Z223)*,3.982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,1,-,1,-,-,1,-,43%,0%,3
,,TOTAL,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,2,-,1,-,-,2,-,100%,0%,7
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,-,-,1,1,2,4,4,5,5,5,7,7,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,348,369,565,328,520,1.156,1.819,1.968,1.087,802,1.053,514,"10.529
1%",,
,,,,,,,,,,,,,,,,,,,,,,348,717,1.282,1.61,2.13,3.286,5.105,7.073,8.16,8.962,10.015,10.529,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 2 TYPE SALES                                                                                                                `JAN-DEC 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,TYPE MODEL,CC,TRANS,FUEL,CAPT,"GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,P x L xT,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share",2.024
4X2 TYPE,CC < 1.500 [G/D],BMW,i440 Gran Coupe AT,-,AT,BEV,51,2.025,-,225/50 R18 95W,136,2.67,4439 x 1821 x 1596,5,4X2,FF,-,5,4,CBU,Germany,-,1,5,4,-,3,-,-,-,-,-,-,0%,0%,13
