1   SEDAN TYPE SALES                                                                                                                                         `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2023
,,BRAND,TYPE MODEL,CC,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
,,,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,TOTAL,,,,,,,,,,,,,,,,,,,,286,635,617,521,721,599,482,585,521,437,349,374,100%,64%,6127
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,286,921,1538,2059,2780,3379,3861,4446,4967,5404,5753,6127,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CC > 3.001 [G]
/ 2.501 [D]",LEXUS,LS 500 Executive,3445,AT,G,-,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,LS 500 Hybrid,3445,AT,HYBRID,-,-,-,245 / 45 R20,-,-,5235X1900X1450,-,4X2,FR,-,-,-,CBU,Japan,-,1,-,-,1,-,2,-,3,1,-,-,24.2%,0.1%,8
,,,LC 500,4969,AT,G,66,2870,-,-,471 / 7100,2730,4770X1920X1345,2,4X2,FR,-,2,4,CBU,Japan,-,-,-,-,-,1,1,-,-,1,3,-,18.2%,0.1%,6
,,BMW,M8 Coupe AT,4395,AT,G,68,2385,-,5/35 ZR20 102Y; 285/35 ZR20 1,625,2827,4867x1907x1362,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,1,-,-,-,-,-,-,-,3%,0%,1
,,,M850i  Coupe AT,4395,AT,G,68,2395,-,245/35 R20 95Y; 275/30 R20 97,530,2822,4851x1902x1346,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,1,-,3%,0%,1
,,MERCEDES-BENZ PC,GT  53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,1,3,1,-,-,-,1,-,-,18.2%,0.1%,6
,,,Maybach S 580 (Z223)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,1,-,1,-,2,2,-,1,1,3,-,-,33.3%,0.1%,11
,,TOTAL,,,,,,,,,,,,,,,,,,,,1,1,1,1,7,4,3,1,4,6,4,-,100%,0%,33
,,CUMULATIVE,,,,,,,,,,,,,,,,,,,,1,2,3,4,11,15,18,19,23,29,33,33,100%,,
SEDAN TYPE SALES TOTAL SEDAN TYPE SALES CUMULATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,418,1069,939,745,987,810,792,867,785,827,739,613,"9.591
1,0%",,
,,,,,,,,,,,,,,,,,,,,,,418,1487,2426,3171,4158,4968,5760,6627,7412,8239,8978,9591,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 2 TYPE SALES                                                                                                                                             `JAN-DEC 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,BRAND,TYPE MODEL,CC,TRANS,FUEL,CAPT,"GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,P x L xT,SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU
/ CKD","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,"Segment
Share","4X2
Share",2023
4X2 TYPE,CC < 1.500 [G/D],BMW,i440 Gran Coupe AT,-,AT,EV,51,2025,-,225/50 R18 95W,136,2670,4439 x 1821 x 1596,5,4X2,FF,-,5,4,CBU,Germany,-,-,1,15,14,9,2,2,2,2,2,1,0%,0%,50
,,,X1 sDrive18i  F48 AT,1499,AT,G,61,2025,-,225/50 R18 95W,140,2670,4447x1821x1598,-,4X2,FF,-,-,4,CKD,Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,X1 sDrive18i  U11 A7 AT,1499,AT,G,45,2075,-,225/55 R18 102Y,156,2692,4500 x 1845 x 1642,-,4X2,FF,-,-,4,CKD,Indonesia,-,-,-,-,-,-,75,38,69,67,28,61,0.1%,0.1%,338
,,CHERY,TIGGO 7 PRO PREMIUM,1500,AT,G,51,-,-,-,-,2670,4500X1842X1746,5,4X2,-,-,5,4,CKD,INA,22,32,34,30,17,14,21,31,16,20,4,8,0.1%,0%,249
