NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL  &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI  ON
P x L  x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU  /  CKD  / COMP,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU  IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chassis  (FD280CG),7700,MT,D,300,26000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,10,-,7,-,-,-,-,-,-,-,-,-,17
,,,Damp Truck  (FD336DT),9726,MT,D,400,32000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,30,-,15,-,-,-,-,-,-,-,-,-,45
,,,Damp Truck  (FD340DT),9726,MT,D,400,25000,5.921,R20-12.00,340,150 + 13,7843 x  2550 x  2550,2,6X4,FR,76,2,10,CBU,China,-,-,5,-,-,-,-,-,-,-,-,-,5
,,,Damp Truck  (HD360DT),9726,MT,D,400,38000,-,-,-,-,-,-,8X4,-,-,2,8,CBU,China,-,-,3,-,-,-,-,-,-,-,-,-,3
,,,Damp Truck  (HD380DT),9726,MT,D,400,31000,5.921,R24-12.00,380,+ 3910 +,9563 x  2550 x  2550,2,8X4,FR,80,2,12,CBU,China,-,-,13,-,-,-,-,-,-,-,-,-,13
,,,Damp Truck  (FD  280DT),7700,MT,D,300,26000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,-,-,15,-,-,-,-,-,-,-,-,-,15
,,,Mixer Truck  (DB130MT),4214,MT,D,80,10000,-,-,-,-,-,-,4X2,-,-,2,4,CBU,China,-,-,7,-,-,-,-,-,-,-,-,-,7
,,,Self  Loader Truck  (FD336SL),9726,MT,D,400,32000,-,-,-,-,-,-,6X4,-,-,2,6,CBU,China,-,-,2,-,-,-,-,-,-,-,-,-,2
,,,TOTAL,,,,,,,,,,,,,,,,,,,40,-,101,-,-,-,-,-,-,-,-,-,141
13,PT.  ISUZU  ASTRA MOTOR  INDONESIA,ISUZU,D-MAX SC,2499,MT,D,76,2750,4100,245/70/R16,109,3095,"5,215 x  1,860 x  1,780",3,4X4,4WD,-,2,4,CBU,Thailand,-,1,10,-,5,5,2,5,4,4,2,-,38
,,,D-MAX DC,2499,MT,D,76,2750,4100,245/70/R16,109,3095,"5,190 x  1,860 x  1,785",5,4X4,4WD,-,4,4,CBU,Thailand,5,1,5,2,-,-,5,-,10,106,-,-,134
,,,D-MAX Rodeo MT,2499,MT,D,76,2750,4300,245/70/R16,109,3095,"5,190 x  1,860 x  1,785",5,4X4,4WD,-,4,4,CBU,Thailand,3,-,-,-,-,-,-,-,3,-,-,-,6
,,,D-MAX Rodeo AT,2999,AT,D,76,2750,3909,255/65/R17,136,3095,"5,295 x  1,860 x  1,795",5,4X4,4WD,-,4,4,CBU,Thailand,2,4,-,-,-,-,-,-,-,-,-,-,6
,,,MU-X,2499,AT,D,47,2540,-,-,-,-,-,7,4X2,-,-,5,4,CBU,Thailand,2,1,-,-,-,-,8,-,5,2,-,-,18
,,,MU-X,2499,MT,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,8,4,10,-,5,5,5,2,-,10,-,-,49
,,,MU-X,2499,0,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,40,-,-,40
,,,MU-X,2499,MT,D,47,2540,-,-,-,-,-,7,4X4,-,-,5,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,1,-,1
,,,NPS 75,4570,MT,D,100,8250,5857,7.50-15-14PR,125,3360,"6,000x1,990x2,280",3,4X2,FR,102,2,6,CBU,Thailand,7,-,9,-,-,44,2,-,6,2,-,-,70
,,,TOTAL,,,,,,,,,,,,,,,,,,,27,11,34,2,10,54,22,7,28,164,3,-,362
